plafa_3357	PLASMODIUM_FALCIPARUM	36329	PLAF7
acama_4692	ACARYOCHLORIS_MARINA_MBIC11017	XXXX	ACAM1
aciri_5754	ACIDOMYCES_RICHMONDENSIS	XXXX	ACIRI
acrdi_5212	ACROPORA_DIGITIFERA	xxxx	ACRDI
acypi_254	ACYRTHOSIPHON_PISUM	7029	ACYPI
aedae_350	AEDES_AEGYPTI	7159	AEDAE
aerhy_5656	AEROMONAS_HYDROPHILA_SUBSP._HYDROPHILA_ATCC_7966	XXXX	AERHH
aerpe_5361	AEROPYRUM_PERNIX_K1	XXXX	AERPE
agrfa_5637	AGROBACTERIUM_FABRUM	XXXX	AGRT5
ailme_5375	AILUROPODA_MELANOLEUCA	9646	AILME
ajeca_1846	AJELLOMYCES_CAPSULATUS_NAMI_WU24	XXXX	AJECA
ajede_4228	AJELLOMYCES_DERMATITIDIS_ER-3	xxxx	AJEDE
altbr_1849	ALTERNARIA_BRASSICICOLA	xxxx	ALTBR
ampqu_4652	AMPHIMEDON_QUEENSLANDICA	400682	AMPQE
anapl_5749	ANAS_PLATYRHYNCHOS	XXXX	ANAPL
anava_4693	ANABAENA_VARIABILIS_ATCC_29413	XXXX	ANAVT
anoca_3173	ANOLIS_CAROLINENSIS	28377	ANOCA
anoga_352	ANOPHELES_GAMBIAE	7165	ANOGA
antlo_2712	ANTONOSPORA_LOCUSTAE	xxxx	ANTLO
apime_353	APIS_MELLIFERA	7460	APIME
aquco_5436	AQUILEGIA_COERULEA	xxxx	AQUCO
araly_3473	ARABIDOPSIS_LYRATA	59689	ARALY
arath_2339	ARABIDOPSIS_THALIANA	3702	ARATH
arcfu_5617	ARCHAEOGLOBUS_FULGIDUS	XXXX	ARCFU
ascap_3132	ASCOSPHAERA_APIS	xxxx	ASCAP
ashgo_3031	ASHBYA_GOSSYPII	284811	ASHGO
aspcl_3032	ASPERGILLUS_CLAVATUS	344612	ASPCL
aspfi_3133	ASPERGILLUS_FISCHERI	xxxx	NEOFI
aspfl_1853	ASPERGILLUS_FLAVUS	332952	ASPFN
aspfu_1854	ASPERGILLUS_FUMIGATUS	330879	ASPFU
aspni_1855	ASPERGILLUS_NIGER	xxxx	ASPNI
aspni_2095	ASPERGILLUS_NIDULANS	XXXX	EMEND
aspor_3033	ASPERGILLUS_ORYZAE	510516	ASPOR
aspte_3034	ASPERGILLUS_TERREUS	341663	ASPTN
aulhe_5756	AULOGRAPHUM_HEDERAE	XXXX	AULHE
auran_3312	AUREOCOCCUS_ANOPHAGEFFERENS	xxxx	AURAN
azops_5676	CANDIDATUS_AZOBACTEROIDES_PSEUDOTRICHONYMPHAE_GENOMOVAR._CFP2	XXXX	AZOPC
babbo_4068	BABESIA_BOVIS	xxxx	BABBO
batde_2732	BATRACHOCHYTRIUM_DENDROBATIDIS	109871	BATDE
bauci_5657	BAUMANNIA_CICADELLINICOLA_STR._HC	XXXX	BAUCH
bauco_5807	BAUDOINIA_COMPNIACENSIS_UAMH_10762	XXXX	BAUCO
bdeba_5642	BDELLOVIBRIO_BACTERIOVORUS_HD100	XXXX	BDEBA
bigna_4244	BIGELOWIELLA_NATANS	XXXX	BIGNA
bommo_1242	BOMBYX_MORI	7091	BOMMO
borpe_5650	BORDETELLA_PETRII_DSM_12804	XXXX	BORPE
botci_1859	BOTRYTIS_CINEREA	XXXX	BOTCI
botdo_5751	BOTRYOSPHAERIA_DOTHIDEA	XXXX	BOTDO
bosta_355	BOS_TAURUS	9913	BOVIN
bradi_3561	BRACHYPODIUM_DISTACHYON	xxxx	BRADI
brafl_2491	BRANCHIOSTOMA_FLORIDAE	7739	BRAFL
brara_3574	BRASSICA_RAPA	xxxx	BRAOL
caebr_2851	CAENORHABDITIS_BRENNERI	135651	CAEBE
caebr_70	CAENORHABDITIS_BRIGGSAE	XXXX	CAEBR
caeel_3	CAENORHABDITIS_ELEGANS	6239	CAEEL
caeja_3052	CAENORHABDITIS_JAPONICA	281687	CAEJA
caere_2344	CAENORHABDITIS_REMANEI	31234	CAERE
calja_2522	CALLITHRIX_JACCHUS	9483	CALJA
calma_5579	CALDIVIRGA_MAQUILINGENSIS	XXXX	CALMQ
calmi_5395	CALLORHINCHUS_MILII	XXXX	CALMI
calsu_5539	CANDIDATUS_CALDIARCHAEUM_SUBTERRANEUM	XXXX	CALSU
camcu_5647	CAMPYLOBACTER_CURVUS_525.92	XXXX	CAMC5
canal_2931	CANDIDA_ALBICANS	294748	CANAW
candu_4239	CANDIDA_DUBLINIENSIS_CD36	xxxx	CANDU
canfa_357	CANIS_FAMILIARIS	9615	CANFA
cangl_2346	CANDIDA_GLABRATA	284593	CANGA
canpa_3134	CANDIDA_PARAPSILOSIS	xxxx	CANPA
cantr_3035	CANDIDA_TROPICALIS	xxxx	CANTR
capow_4065	CAPSASPORA_OWCZARZAKI	595528	CAPO3
capru_5435	CAPSELLA_RUBELLA	xxxx	CAPRU
capsp_2853	CAPITELLA_CAPITATA	XXXX	CAPI1
carru_5659	CANDIDATUS_CARSONELLA_RUDDII_PV	XXXX	CARRP
caucr_5636	CAULOBACTER_CRESCENTUS_CB15	XXXX	CAUCR
cavpo_1677	CAVIA_PORCELLUS	10141	CAVPO
cenge_5757	CENOCOCCUM_GEOPHILUM_1.58	XXXX	CENGE
censy_5537	CENARCHAEUM_SYMBIOSUM	XXXX	CENSY
chagl_1863	CHAETOMIUM_GLOBOSUM	xxxx	CHAGL
galga_359	GALLUS_GALLUS	9031	CHICK
chlnc_3474	CHLORELLA_SP._NC64A	xxxx	CHLNC
chlps_5670	CHLAMYDOPHILA_PSITTACI_6BC	XXXX	CHLP6
chlre_2104	CHLAMYDOMONAS_REINHARDTII	3055	CHLRE
chltr_5669	CHLAMYDIA_TRACHOMATIS_G/9301	XXXX	CHLTR
choho_4055	CHOLOEPUS_HOFFMANNI	9358	CHOHO
cioin_5	CIONA_INTESTINALIS	7719	CIOIN
ciosa_2525	CIONA_SAVIGNYI	51511	CIOSA
citcl_3595	CITRUS_CLEMENTINA	xxxx	CITCL
citsi_3596	CITRUS_SINENSIS	xxxx	CITSI
clafu_4167	CLADOSPORIUM_FULVUM_	XXXX	CLAFU
clagr_5753	CLADONIA_GRAYI	XXXX	CLAGR
clalu_3036	CLAVISPORA_LUSITANIAE	xxxx	CLALU
clami_5671	CLAVIBACTER_MICHIGANENSIS_SUBSP._MICHIGANENSIS_NCPPB_382	XXXX	CLAM3
clote_5668	CLOSTRIDIUM_TETANI_E88	XXXX	CLOTE
cocca_5758	COCHLIOBOLUS_CARBONUM_26-R-13	XXXX	COCCA
coche_5759	COCHLIOBOLUS_HETEROSTROPHUS_C5	XXXX	COCHE
cocim_2106	COCCIDIOIDES_IMMITIS_RS	XXXX	COCIM
coclu_5760	COCHLIOBOLUS_LUNATUS_M118	XXXX	COCLU
cocmi_5761	COCHLIOBOLUS_MIYABEANUS_ATCC_44560	XXXX	COCMI
